Iteration 180, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 10.70s
Iteration 181, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 10.77s
Iteration 182, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 10.82s
Iteration 183, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 10.87s
Iteration 184, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 10.93s
Iteration 185, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 10.98s
Iteration 186, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.03s
Iteration 187, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.10s
Iteration 188, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.15s
Iteration 189, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.21s
Iteration 190, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.27s
Iteration 191, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.32s
Iteration 192, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.38s
Iteration 193, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.43s
Iteration 194, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.50s
Iteration 195, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.55s
Iteration 196, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.60s
Iteration 197, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.66s
Iteration 198, Best Cost: 5716, Hard Conflicts: 0, Soft Conflicts: 5716, Time: 11.72s
Iteration 199, Best Cost: 5691, Hard Conflicts: 0, Soft Conflicts: 5691, Time: 11.77s
Iteration 200, Best Cost: 5691, Hard Conflicts: 0, Soft Conflicts: 5691, Time: 11.84s
Iteration 201, Best Cost: 5691, Hard Conflicts: 0, Soft Conflicts: 5691, Time: 11.89s
Iteration 202, Best Cost: 5691, Hard Conflicts: 0, Soft Conflicts: 5691, Time: 11.95s
Iteration 203, Best Cost: 5691, Hard Conflicts: 0, Soft Conflicts: 5691, Time: 12.00s
Iteration 204, Best Cost: 5691, Hard Conflicts: 0, Soft Conflicts: 5691, Time: 12.07s
Iteration 205, Best Cost: 5691, Hard Conflicts: 0, Soft Conflicts: 5691, Time: 12.12s
Iteration 206, Best Cost: 5691, Hard Conflicts: 0, Soft Conflicts: 5691, Time: 12.17s
Iteration 207, Best Cost: 5691, Hard Conflicts: 0, Soft Conflicts: 5691, Time: 12.24s
Iteration 208, Best Cost: 5691, Hard Conflicts: 0, Soft Conflicts: 5691, Time: 12.29s
Iteration 209, Best Cost: 5691, Hard Conflicts: 0, Soft Conflicts: 5691, Time: 12.34s
Iteration 210, Best Cost: 5681, Hard Conflicts: 0, Soft Conflicts: 5681, Time: 12.41s
Iteration 211, Best Cost: 5681, Hard Conflicts: 0, Soft Conflicts: 5681, Time: 12.46s
Iteration 212, Best Cost: 5681, Hard Conflicts: 0, Soft Conflicts: 5681, Time: 12.52s
Iteration 213, Best Cost: 5681, Hard Conflicts: 0, Soft Conflicts: 5681, Time: 12.57s
Iteration 214, Best Cost: 5681, Hard Conflicts: 0, Soft Conflicts: 5681, Time: 12.64s
Iteration 215, Best Cost: 5681, Hard Conflicts: 0, Soft Conflicts: 5681, Time: 12.69s
Iteration 216, Best Cost: 5681, Hard Conflicts: 0, Soft Conflicts: 5681, Time: 12.74s
